epoch,train_loss,train_accuracy,test_loss,test_accuracy
0.0,1.6933952641487122,0.30066258282285285,1.700378319573781,0.269
1.0,1.6400476469993592,0.3156644580572572,1.7033975408190773,0.3035
2.0,1.6054628658294678,0.33479184898112263,1.7114047871695623,0.2935
3.0,1.5696194071769713,0.35466933366670833,1.730177500891307,0.283
4.0,1.549386444568634,0.3587948493561695,1.7456391822724115,0.257
5.0,1.5282330374717712,0.37329666208276036,1.754390177272615,0.262
6.0,1.5103546504974366,0.38379797474684335,1.7667043360452803,0.267
7.0,1.4932458429336548,0.39479934991873983,1.7642892144975209,0.259
8.0,1.4758082194328308,0.4049256157019627,1.7809451875232516,0.274
9.0,1.4680948982238768,0.4016752094011751,1.787108718402802,0.2665
10.0,1.4542824897766113,0.41392674084260533,1.8041564055851527,0.244
11.0,1.4416125297546387,0.42305288161020127,1.8129652908870153,0.2315
12.0,1.4340671019554139,0.4251781472684085,1.8184833129247029,0.242
13.0,1.42693532371521,0.42992874109263657,1.8126895503392295,0.251
14.0,1.4173338317871094,0.4315539442430304,1.824630618095398,0.2345
